# NBs       NBID        RA          DEC               F_Lya          dF_Lya      EW_rest       fuv            dfuv   U-B   Type   SpatialWeight
    466    195      53.0804866     -27.6657693       6.604e-17       9.471e-18   54.68       2.187e-30       4.624e-31    0.60  N    2.27
    466    196      53.0774401     -27.6655799       5.685e-17       1.016e-17   23.50       4.380e-30       4.932e-31    0.86  N    2.27
    466    198      53.0861871     -27.6573615       4.633e-17       8.870e-18  493.20       1.701e-31       4.305e-31   -0.72  N    2.31
    466    201      52.8816972     -27.6544201       3.336e-16       2.735e-17 9000.00       6.711e-32       3.284e-30    0.56  N    2.87
    466    202      52.8790273     -27.6542216       1.597e-16       1.672e-17   39.89       7.250e-30       2.351e-30    2.04  N    2.81
    466    203      52.8799154     -27.6548927       5.783e-16       3.392e-17  252.99       4.139e-30       4.533e-30    1.55  N    2.84
    466    208      53.0797384     -27.6075672       5.594e-17       9.089e-18   30.28       3.345e-30       2.922e-31    0.83  N    2.04
    466    210      53.0127423     -27.6003879       9.753e-17       1.353e-17   44.69       3.951e-30       4.511e-31    0.36  N    1.78
    466    211      52.9953681     -27.5878089       5.449e-16       7.789e-18   45.53       2.167e-29       2.667e-31    0.92  X    1.53
    466    212      53.0920541     -27.5760541       6.499e-17       1.019e-17   32.13       3.663e-30       3.446e-31    0.68  N    1.60
    466    213      53.0507897     -27.5546436       3.353e-17       6.685e-18   20.56       2.952e-30       2.193e-31    0.87  N    1.50
    470      3      53.3806751     -28.0411973       6.126e-17       7.687e-18 9000.00       1.222e-32       2.933e-31   -0.59  N    1.24
    470      8      53.1547284     -27.9960652       6.431e-17       5.664e-18   43.18       2.674e-30       2.086e-31    0.64  N    1.82
    470     10      53.1719680     -27.9781355       4.693e-17       8.034e-18   23.06       3.654e-30       2.619e-31    0.39  N    2.16
    470     11      53.0375375     -27.9798103       9.673e-17       7.400e-18   26.43       6.571e-30       2.580e-31    0.35  N    1.62
    470     13      53.0275972     -27.9701119       3.467e-17       6.991e-18   26.78       2.324e-30       2.320e-31    0.64  N    1.75
    470     17      52.9387377     -27.9663149       1.018e-16       8.626e-18  135.53       1.348e-30       3.000e-31    0.62  N    1.33
    470     19      53.2664328     -27.9625375       3.172e-17       6.819e-18   28.49       1.998e-30       2.420e-31    0.76  N    1.11
    470     25      53.4067365     -27.9525053       6.964e-17       8.391e-18   55.51       2.252e-30       2.894e-31    1.03  N    0.70
    470     28      53.1667080     -27.9453892       1.977e-16       8.071e-18   76.77       4.623e-30       2.784e-31    0.30  N    2.35
    470     29      52.9457312     -27.9421021       3.685e-17       6.078e-18  120.28       5.500e-31       2.186e-31    0.41  N    1.61
    470     31      53.1652454     -27.9382735       6.084e-17       6.068e-18   85.99       1.270e-30       1.914e-31    0.76  N    2.26
    470     32      53.2650626     -27.9210265       3.156e-17       6.044e-18   72.51       7.814e-31       2.167e-31    0.90  N    1.35
    470     34      53.0214564     -27.9089684       5.090e-17       5.006e-18   87.03       1.050e-30       1.704e-31    0.84  N    2.35
    470     35      53.0136017     -27.9032380       9.699e-17       1.022e-17   26.96       6.457e-30       3.597e-31    0.31  N    2.33
    470     36      53.3098262     -27.8980410       3.215e-17       6.689e-18   67.05       8.607e-31       2.323e-31    0.53  N    1.19
    470     38      53.0770881     -27.8956909       3.461e-17       4.310e-18  228.05       2.724e-31       1.508e-31    0.56  N    1.69
    470     39      52.9330561     -27.8896067       4.117e-17       7.637e-18   21.49       3.440e-30       2.660e-31    0.48  N    1.18
    470     41      53.0107109     -27.8828290       5.203e-17       8.393e-18   33.79       2.765e-30       2.884e-31    0.32  N    1.99
    470     47      53.1985764     -27.8614526       5.287e-17       8.226e-18   89.89       1.056e-30       2.673e-31    0.88  N    1.66
    470     51      53.3852211     -27.8328711       3.552e-17       5.462e-18   77.17       8.264e-31       2.025e-31    0.55  N    0.97
