# NBs NBID RA_1       DEC_1       F_Lya     dF_Lya    EW_rest fuv       dfuv      U-B   Type SpatialWeight NUMBER RA_2      DEC_2      f mag     dmag       re       dre        n      dn         q        dq         pa       dpa      sn      Separation          OBJNUMBER RA        DEC        Image_Done? Merger/Pair Nearby Off_Center BandPass Irregular Question?                          col11 col12 col13 col14 col15 col16 col17 col18 col19 col20 col21 col22 col23
  470 100  53.0947402 -27.7295163 3.498E-17 3.666E-18 154.32  4.069E-31 1.277E-31 0.35  N    3.37          21179  53.094685 -27.729435 0 25.7961 0.196413   0.173286 0.0636056  3.4883 2.28095    0.5451   0.195515   -53.6446 24.8644  12.244  0.34146983096749706 21179     ""        ""         1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 108  53.20341   -27.7161102 3.283E-17 6.226E-18 45.68   1.29E-30  1.939E-31 1.06  N    2.1           22782  53.203377 -27.715994 2 25.5617 0.302075   0.072018 0.0494725  1.5986 2.47163    0.051    0.456919   17.7936  65.4639  6.77415 0.4313376883070047  22782     ""        ""         1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 111  53.0564151 -27.7094383 4.285E-17 3.782E-18 1162.79 6.616E-32 1.274E-31 0.48  N    3.51          23200  53.056473 -27.709373 2 26.3443 0.153922   0.065538 0.0198452  0.2    0.13513    0.5869   0.172142   -13.9662 25.6658  12.1299 0.2988577782344817  23200     ""        ""         1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  475 45   53.1930866 -27.8480818 4.548E-17 6.43E-18  18.83   4.291E-30 2.419E-31 1.2   N    0.68          6664   53.193047 -27.848047 0 23.186  0.0463045  0.188946 0.0137088  4.2586 0.563688   0.5984   0.0361209  35.7176  3.54639  78.2931 0.1777180124360897  6664      53.193047 -27.848047 1           1           0      0.0        0        1         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 33   53.1164635 -27.915346  9.771E-17 5.39E-18  71.39   2.457E-30 2.115E-31 0.53  N    1.8           1099   53.116535 -27.91534  0 25.6786 0.117417   0.053466 0.0146773  1.3238 0.789636   0.9796   0.173256   73.0675  26.1486  16.8465 0.22847234589326385 1099      53.116535 -27.91534  1           0           1      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 50   53.1923997 -27.8443264 4.255E-17 5.526E-18 80.75   9.46E-31  1.94E-31  0.83  N    2.05          29081  53.192528 -27.844294 2 26.7057 0.324218   0.043716 0.0357348  8.0    8.25938    0.0129   0.42267    -42.6347 65.07    6.25382 0.4247332643372285  29081     ""        ""         1           0           0      0.0        1        1         "Low visibility"                   ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 109  53.0393315 -27.80191   1.713E-15 9.394E-18 30.69   1.01E-28  2.874E-31 1.86  X    4.05          12122  53.03936  -27.801884 0 19.6838 0.00136411 0.031542 6.26466E-5 0.2502 0.00166687 0.6352   0.00175084 43.2265  0.169873 1497.46 0.13037518337918216 12122     53.03936  -27.801884 1           0           0      0.0        0        0         Diffraction                        ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 112  53.2220572 -27.7944578 3.599E-17 4.16E-18  71.46   9.12E-31  1.201E-31 0.97  N    4.37          12862  53.222157 -27.794403 0 25.9997 0.148892   0.035148 0.0128676  6.6399 3.42832    0.9757   0.202804   -82.2502 30.2353  14.2017 0.3740780387533863  12862     53.222157 -27.794403 1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 75   53.1989685 -27.7795338 3.391E-17 6.916E-18 23.33   2.61E-30  2.195E-31 0.62  N    3.74          15206  53.199001 -27.779545 1 24.4357 0.197634   1.19215  0.316627   7.0073 2.59863    0.5438   0.0841731  -27.7719 8.01766  21.7238 0.11109073573079355 15206     53.199001 -27.779545 1           1           1      0.0        0        1         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 140  53.0492705 -27.7679655 4.651E-17 7.409E-18 46.95   1.793E-30 2.129E-31 1.1   N    2.27          16801  53.049183 -27.767984 0 24.6596 0.0472104  0.119346 0.0102772  0.9441 0.294875   0.7087   0.0725097  -76.3576 7.50693  38.9355 0.2865715092177218  16801     ""        ""         1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 85   53.0869975 -27.7653146 7.929E-17 7.601E-18 295.28  4.82E-31  2.598E-31 0.8   N    3.41          17163  53.087006 -27.76528  0 25.7192 0.087029   0.095952 0.0173054  1.0777 0.467188   0.5376   0.121647   -82.362  17.8623  23.1054 0.12746900645237744 17163     ""        ""         1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 116  53.0471888 -27.7042317 1.713E-16 7.066E-18 139.23  2.208E-30 2.344E-31 1.13  N    3.31          26714  53.047218 -27.70418  0 25.3395 0.0752675  0.061188 0.0104164  1.5267 0.63658    0.6441   0.116896   -12.8243 16.4819  27.7267 0.2080925069254075  26714     ""        ""         1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
