ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,comment
470011,0,0,1,1,1,1,0,
470013,0,0,1,0,1,1,0,
470014,0,1,0,0,0,0,0,
470017,0,0,1,0,0,1,0,LateTypeMerger-or-CompactwithTail
470019,0,0,1,0,1,1,0,MergerwithDiffuseStructure
470028,0,0,1,0,0,0,0,
470029,0,0,1,0,0,0,0,LateTypeMerger
470031,0,0,1,0,1,1,0,Multi-System
470032,0,0,1,0,0,0,0,MergerPair-or-CompactwithTail
470033,0,1,0,0,1,0,0,
470034,0,0,1,0,1,1,0,
470035,0,0,1,0,1,1,0,
470036,0,0,1,0,1,1,0,
470038,0,1,0,0,0,0,0,
470039,0,0,1,0,0,0,0,Bad-Coordinates
470041,0,0,1,0,0,1,0,PointWithTail-or-Merger?
470047,0,0,1,0,0,1,0,
470049,0,1,0,0,0,0,0,
470050,0,0,1,1,1,1,0,
470056,0,0,0,0,0,0,1,
470057,0,0,0,0,0,0,1,
470065,0,0,1,1,1,1,0,
470067,0,1,0,0,1,0,0,
470070,0,1,0,0,0,0,0,
470071,0,0,0,0,0,0,1,FakeNBsource
470072,0,0,1,0,1,1,0,Multi-System
470075,0,0,1,0,1,1,0,Multi-System
470076,0,0,1,1,1,0,0,Late-Type-Merger?
470081,0,0,1,1,1,1,0,
470085,0,1,0,0,0,0,0,
470089,0,0,1,1,0,0,0,Tail-or-Merger?
470091,0,0,0,0,0,0,1,
470092,0,1,0,0,0,0,0,
470093,0,1,0,0,0,0,0,
470100,0,0,1,0,1,1,0,
470101,0,1,0,0,0,0,0,
470105,1,0,0,0,0,0,0,
470108,0,1,0,0,0,0,0,
470111,0,1,0,0,0,0,0,
470112,0,0,1,0,1,1,0,
470116,0,0,1,0,1,1,0,
470117,0,1,0,0,0,0,0,
470121,0,0,1,1,0,0,0,
470129,0,1,0,1,0,0,0,
470133,0,0,0,1,0,1,0,
470136,0,1,0,0,0,0,0,
470137,0,0,0,0,0,0,1,
470139,0,1,0,0,0,0,0,
470142,0,1,0,0,0,0,0,
475002,0,0,1,0,0,0,0,Merger-or-Tail?
475003,0,0,1,0,0,1,0,
475006,0,1,0,1,0,0,0,
475009,0,0,1,0,0,1,0,
475010,0,1,0,0,1,0,0,
475012,1,1,1,0,1,0,0,
475014,0,0,1,0,1,0,0,
475016,0,0,1,1,1,1,0,Multi-System
475026,0,1,1,1,1,0,0,
475031,0,1,0,0,0,0,0,
475033,0,1,0,0,0,0,0,
475039,1,0,0,0,0,0,0,
475040,1,0,0,0,1,0,0,
475045,0,0,1,0,1,1,0,
475053,0,1,0,0,0,0,0,
475067,0,1,0,1,0,0,0,
475075,0,0,1,0,1,1,0,
475080,0,1,0,1,0,0,0,
475083,0,0,1,1,0,0,0,
475087,0,1,0,0,0,0,0,
475091,1,0,0,0,0,0,1,
475097,0,1,0,1,0,0,0,
475101,0,0,0,0,0,0,1,
475102,0,0,0,0,0,0,1,
475121,0,1,0,1,0,0,0,
