ID, RA, DEC, Z, EW, CatID
107,53.20608333333333,-27.66077777777777,0.0,106,1,0
108,53.283125,-27.555194444444442,0.0,136,1,0
109,52.826416666666674,-27.81,0.0,238,1,0
110,53.012125000000005,-27.73538888888889,0.0,479,1,0
111,53.12083333333334,-28.012833333333333,0.0,509,1,0
112,53.27891666666667,-27.707694444444446,3.111,392,1//2,1
113,52.88066666666668,-27.567500000000003,0.0,369,1,0
114,53.30470833333332,-27.61352777777778,0.0,321,1,0
115,53.229000000000006,-27.868527777777782,3.134,377,1,0
116,53.34883333333333,-27.73586111111111,3.114,255,1,0
117,53.033458333333336,-27.548083333333338,0.0,90,1,0
118,53.08325000000001,-28.052305555555556,0.0,217,1,0
119,53.31308333333333,-28.040583333333338,0.0,215,1,0
120,52.9035,-27.876194444444433,0.0,410,1,0
121,53.173624999999994,-27.611388888888893,0.0,93,1,0
122,52.949000000000005,-27.704555555555554,0.0,205,1,0
123,52.927916666666675,-27.884638888888887,0.0,173,1,0
124,53.31133333333332,-27.98619444444445,0.0,198,1,0
125,53.38241666666667,-27.86141666666667,0.0,269,1,0
126,53.13970833333334,-27.96263888888889,0.0,246,1,0
127,53.33704166666666,-27.680333333333333,0.0,288,1,0
128,53.282375,-27.638666666666673,0.0,126,1,0
129,53.14295833333332,-27.799777777777777,3.102,163,1,0
130,53.31962500000001,-28.049611111111112,0.0,227,1,0
131,52.96529166666667,-27.803583333333332,0.0,514,1,0
132,52.977875,-27.881333333333334,0.0,255,1,0
133,53.23291666666666,-27.88302777777777,0.0,339,1,0
134,53.31099999999999,-27.60388888888889,3.107,205,1,0
135,52.959875,-27.992694444444453,0.0,321,1,0
136,53.27983333333333,-27.81430555555556,3.114,229,1//2,1
137,53.284499999999994,-27.69847222222222,0.0,272,1,0
138,53.359249999999996,-27.76902777777778,0.0,724,1,0
139,53.296125,-27.650416666666665,0.0,198,1,0
140,53.351333333333336,-28.049666666666667,0.0,389,1,0
141,53.16341666666666,-27.78655555555556,0.0,120,1,0
142,53.02858333333333,-27.89261111111111,0.0,611,1,0
143,53.244041666666675,-27.691944444444438,0.0,307,1,0
144,52.97012500000001,-27.755166666666668,3.106,186,1,0
145,53.30370833333335,-28.052277777777782,0.0,739,1,0
146,53.327333333333335,-27.563750000000002,0.0,926,1,0
147,53.340374999999995,-27.751916666666666,0.0,163,1,0
148,53.262458333333335,-28.043027777777766,0.0,136,1,0
149,53.238958333333336,-27.86169444444445,0.0,331,1,0
150,53.41141666666667,-27.784027777777776,0.0,460,1,0
151,53.06070833333334,-27.764555555555557,3.118,314,1,0
152,53.04649999999999,-28.058166666666654,0.0,357,1,0
153,53.035875000000004,-27.95325,0.0,564,1,0
154,53.299875000000014,-27.832083333333337,0.0,120,1,0
155,52.948375,-28.03511111111111,0.0,377,1,0
156,52.98504166666668,-27.636833333333335,0.0,101,1,0
157,53.108624999999996,-27.884249999999998,0.0,530,1,0
158,52.86387500000001,-27.947777777777773,0.0,381,1,0
159,52.92674999999999,-27.951249999999998,0.0,205,1,0
160,53.392583333333334,-27.77769444444445,0.0,121,1,0
161,53.26954166666667,-27.99522222222222,0.0,222,1,0
162,53.20174999999999,-27.951777777777778,0.0,410,1,0
163,53.32287499999999,-28.00780555555555,0.0,285,1,0
164,53.096916666666665,-27.951333333333338,0.0,514,1,0
165,52.886874999999996,-28.053138888888885,0.0,311,1,0
166,53.26275000000001,-27.615361111111106,3.107,385,1,0
167,53.246291666666664,-27.68561111111111,0.0,581,1,0
168,52.96570833333333,-27.95794444444444,0.0,617,1,0
169,53.26175,-27.95486111111111,0.0,464,1,0
170,53.28533333333334,-27.656472222222227,0.0,324,1,0
171,52.91112499999999,-27.762111111111125,0.0,317,1,0
172,53.249,-27.752611111111108,0.0,220,1,0
173,53.181041666666665,-28.01658333333333,0.0,220,1,0
174,53.173208333333335,-27.568722222222235,0.0,101,1,0
175,53.23804166666667,-27.752,0.0,294,1,0
176,53.40454166666666,-27.925388888888893,0.0,159,1,0
177,52.852458333333345,-27.581749999999996,0.0,494,1,0
178,53.049125,-27.58455555555556,0.0,460,1,0
179,53.27558333333333,-27.88741666666667,0.0,908,1,0
180,52.981416666666675,-28.03725,0.0,252,1,0
181,53.22387499999999,-28.021944444444447,0.0,188,1,0
182,53.35183333333333,-27.74269444444445,3.113,432,1,0
183,52.991875,-27.959250000000004,0.0,255,1,0
184,53.053125,-28.05736111111111,0.0,241,1,0
185,53.34345833333333,-27.548444444444446,0.0,294,1,0
186,53.317708333333336,-28.009638888888894,0.0,146,1,0
