03 32 33.2500,-27 51 27.300,03 32 33.25,-27 51 27.3,-16.459,151,3.112,53.13854166666665,-27.85758333333333
03 32 10.5300,-27 59 17.500,03 32 10.53,-27 59 17.5,-16.463,643,3.122,53.043875,-27.98819444444445
03 32 53.3500,-27 56 39.400,03 32 53.35,-27 56 39.4,-16.467,110,0.0,53.222291666666656,-27.944277777777778
03 32 43.4300,-27 40 23.100,03 32 43.43,-27 40 23.1,-16.471,593,0.0,53.180958333333336,-27.673083333333338
03 31 42.6900,-27 33 26.600,03 31 42.69,-27 33 26.6,-16.471,266,0.0,52.92787500000001,-27.55738888888889
03 31 29.7100,-27 50 10.500,03 31 29.71,-27 50 10.5,-16.471,689,0.0,52.87379166666667,-27.836250000000003
03 33 09.4100,-27 45 49.800,03 33 09.41,-27 45 49.8,-16.471,129,0.0,53.28920833333334,-27.763833333333334
03 32 39.4500,-27 44 49.500,03 32 39.45,-27 44 49.5,-16.475,91,0.0,53.164375,-27.74708333333333
03 32 28.8900,-27 42 13.600,03 32 28.89,-27 42 13.6,-16.475,288,3.141,53.120374999999996,-27.703777777777777
03 33 22.6800,-27 59 36.900,03 33 22.68,-27 59 36.9,-16.475,98,0.0,53.344500000000004,-27.99358333333333
03 33 08.1400,-27 37 21.800,03 33 08.14,-27 37 21.8,-16.483,294,3.113,53.28391666666668,-27.62272222222223
03 33 27.1100,-27 32 24.700,03 33 27.11,-27 32 24.7,-16.487,328,0.0,53.36295833333334,-27.54019444444445
03 31 36.5800,-27 56 44.900,03 31 36.58,-27 56 44.9,-16.491,288,0.0,52.90241666666667,-27.945805555555555
03 32 04.8500,-27 38 48.200,03 32 04.85,-27 38 48.2,-16.491,118,0.0,53.02020833333333,-27.64672222222222
03 33 11.0600,-27 32 49.800,03 33 11.06,-27 32 49.8,-16.491,406,0.0,53.29608333333333,-27.547166666666666
03 31 24.4500,-27 40 53.000,03 31 24.45,-27 40 53.0,-16.491,220,0.0,52.851875,-27.681388888888893
03 32 04.5900,-27 57 19.500,03 32 04.59,-27 57 19.5,-16.495,89,0.0,53.019125,-27.955416666666665
03 31 33.7200,-28 01 41.900,03 31 33.72,-28 01 41.9,-16.495,83,0.0,52.890499999999996,-28.02830555555555
03 32 59.9800,-27 50 26.300,03 32 59.98,-27 50 26.3,-16.499,165,3.096,53.24991666666666,-27.84063888888889
03 31 35.9900,-27 50 52.900,03 31 35.99,-27 50 52.9,-16.511,307,0.0,52.89995833333333,-27.848027777777773
03 33 12.7100,-28 01 39.600,03 33 12.71,-28 01 39.6,-16.515,91,0.0,53.302958333333336,-28.02766666666667
03 33 27.0000,-27 42 11.200,03 33 27.00,-27 42 11.2,-16.515,167,3.101,53.362500000000004,-27.703111111111106
03 32 49.4600,-27 39 38.800,03 32 49.46,-27 39 38.8,-16.523,106,0.0,53.20608333333333,-27.66077777777777
03 33 07.9500,-27 33 18.700,03 33 07.95,-27 33 18.7,-16.523,136,0.0,53.283125,-27.555194444444442
03 31 18.3400,-27 48 36.000,03 31 18.34,-27 48 36.0,-16.535,238,0.0,52.826416666666674,-27.81
03 32 02.9100,-27 44 07.400,03 32 02.91,-27 44 07.4,-16.535,479,0.0,53.012125000000005,-27.73538888888889
03 32 29.0000,-28 00 46.200,03 32 29.00,-28 00 46.2,-16.535,509,0.0,53.12083333333334,-28.012833333333333
03 33 06.9400,-27 42 27.700,03 33 06.94,-27 42 27.7,-16.539,301,3.111,53.27891666666667,-27.707694444444446
03 31 31.3600,-27 34 03.000,03 31 31.36,-27 34 03.0,-16.539,369,0.0,52.88066666666668,-27.567500000000003
03 33 13.1300,-27 36 48.700,03 33 13.13,-27 36 48.7,-16.543,321,0.0,53.30470833333332,-27.61352777777778
03 32 54.9600,-27 52 06.700,03 32 54.96,-27 52 06.7,-16.547,377,3.134,53.229000000000006,-27.868527777777782
03 33 23.7200,-27 44 09.100,03 33 23.72,-27 44 09.1,-16.551,255,3.114,53.34883333333333,-27.73586111111111
03 32 08.0300,-27 32 53.100,03 32 08.03,-27 32 53.1,-16.551,90,0.0,53.033458333333336,-27.548083333333338
03 32 19.9800,-28 03 08.300,03 32 19.98,-28 03 08.3,-16.551,217,0.0,53.08325000000001,-28.052305555555556
03 33 15.1400,-28 02 26.100,03 33 15.14,-28 02 26.1,-16.551,215,0.0,53.31308333333333,-28.040583333333338
03 31 36.8400,-27 52 34.300,03 31 36.84,-27 52 34.3,-16.555,410,0.0,52.9035,-27.876194444444433
03 32 41.6700,-27 36 41.000,03 32 41.67,-27 36 41.0,-16.559,93,0.0,53.173624999999994,-27.611388888888893
03 31 47.7600,-27 42 16.400,03 31 47.76,-27 42 16.4,-16.559,205,0.0,52.949000000000005,-27.704555555555554
03 31 42.7000,-27 53 04.700,03 31 42.70,-27 53 04.7,-16.559,173,0.0,52.927916666666675,-27.884638888888887
03 33 14.7200,-27 59 10.300,03 33 14.72,-27 59 10.3,-16.559,198,0.0,53.31133333333332,-27.98619444444445
03 33 31.7800,-27 51 41.100,03 33 31.78,-27 51 41.1,-16.563,269,0.0,53.38241666666667,-27.86141666666667
03 32 33.5300,-27 57 45.500,03 32 33.53,-27 57 45.5,-16.563,246,0.0,53.13970833333334,-27.96263888888889
03 33 20.8900,-27 40 49.200,03 33 20.89,-27 40 49.2,-16.563,288,0.0,53.33704166666666,-27.680333333333333
