03 32 39.06553,-27 45 29.8080,53.162773,-27.75828,3.6,64.5,0.0,281,53.16277304166667,-27.75828
03 32 36.11520,-27 45 54.8500,53.15048,-27.765236,3.0,9.86,140.6,354,53.15048000000001,-27.765236111111115
03 32 40.37113,-27 45 42.3540,53.168213,-27.761765,3.8,10.22,131.6,275,53.16821304166667,-27.761765000000004
03 32 43.79640,-27 47 38.6700,53.182484,-27.794075,3.07,8.29,74.7,219,53.18248500000001,-27.794075000000003
03 32 44.26367,-27 47 03.7100,53.184433,-27.784365,3.0,30.01,0.0,277,53.18443195833334,-27.78436388888889
03 32 33.09987,-27 47 15.8680,53.137917,-27.78774,3.47,10.11,91.0,284,53.137916125,-27.787741111111114
03 32 31.98573,-27 47 22.8120,53.133274,-27.78967,3.33,16.67,162.7,313,53.133273875,-27.78967
03 32 35.53393,-27 47 42.0000,53.14806,-27.795,4.51,11.6,109.5,291,53.14805804166667,-27.794999999999995
03 32 37.23573,-27 45 44.5140,53.155148,-27.762365,2.93,10.62,105.0,349,53.155148875,-27.762365000000003
03 32 45.09387,-27 47 17.5270,53.18789,-27.788202,3.01,17.73,0.0,230,53.187891125,-27.788201944444445
03 32 45.84407,-27 47 29.9260,53.191017,-27.791645,4.84,8.0,91.7,211,53.191016958333336,-27.791646111111113
03 32 39.02787,-27 48 12.9820,53.162617,-27.803606,4.53,15.87,192.7,247,53.162616125,-27.803606111111108
03 32 44.20367,-27 47 50.3660,53.18418,-27.797323,3.73,14.87,168.4,227,53.18418195833332,-27.797323888888894
03 32 38.59467,-27 48 16.1600,53.160812,-27.80449,4.5,6.91,77.0,177,53.160811125,-27.804488888888883
03 32 36.00793,-27 46 34.7450,53.150032,-27.776318,3.17,11.87,168.4,275,53.15003304166666,-27.776318055555553
03 32 42.78693,-27 46 35.2880,53.17828,-27.776468,3.77,4.76,58.7,248,53.178278875,-27.776468888888886
03 32 44.58147,-27 47 00.2580,53.185757,-27.783405,4.54,4.87,40.6,312,53.185756125,-27.783405
03 32 43.68047,-27 48 01.5620,53.182003,-27.800434,3.26,8.83,102.0,294,53.18200195833333,-27.800433888888897
03 32 37.53887,-27 48 23.0540,53.15641,-27.806404,3.54,5.7,0.0,177,53.15641195833333,-27.806403888888887
03 32 39.06573,-27 45 38.7540,53.162773,-27.760765,5.92,28.98,115.5,217,53.16277387500001,-27.760764999999996
03 32 32.44607,-27 47 42.3380,53.135193,-27.795094,5.08,7.39,0.0,184,53.13519195833333,-27.79509388888889
03 32 42.36673,-27 46 15.7300,53.17653,-27.771036,5.89,14.86,106.0,242,53.17652804166667,-27.771036111111112
03 32 32.02533,-27 47 13.5490,53.13344,-27.787098,4.14,5.91,98.4,197,53.133438874999996,-27.787096944444443
03 32 37.63127,-27 46 08.9940,53.156796,-27.769165,4.81,5.41,99.7,188,53.15679695833334,-27.769165
03 32 34.09393,-27 46 47.2080,53.14206,-27.77978,5.93,18.36,42.5,404,53.14205804166667,-27.779779999999995
03 32 38.43767,-27 48 39.1540,53.160156,-27.810877,3.71,4.44,0.0,261,53.16015695833333,-27.81087611111111
03 32 34.36273,-27 47 48.7860,53.143177,-27.796885,3.25,11.65,464.9,256,53.14317804166668,-27.796885
03 32 41.31387,-27 48 24.2420,53.172142,-27.806734,4.4,8.2,240.3,250,53.172141124999996,-27.80673388888888
03 32 33.15813,-27 47 40.7220,53.13816,-27.794645,3.56,6.08,80.4,341,53.138158874999995,-27.794645
03 32 36.92613,-27 47 30.0620,53.15386,-27.791683,3.15,27.53,603.5,313,53.153858875000005,-27.79168388888889
03 32 42.77427,-27 46 40.5260,53.178226,-27.777924,3.38,7.65,146.0,215,53.178226124999995,-27.77792388888889
03 32 34.91853,-27 47 20.3780,53.145493,-27.788994,4.15,11.51,330.7,218,53.14549387499999,-27.7889938888889
03 32 32.92920,-27 47 14.3560,53.137203,-27.787321,4.4,9.08,241.0,129,53.137204999999994,-27.787321111111105
03 32 36.57647,-27 48 14.0940,53.1524,-27.803915,3.18,15.19,235.4,356,53.15240195833333,-27.803915000000003
03 32 46.23887,-27 47 26.3980,53.19266,-27.790667,4.78,5.89,58.1,209,53.192661958333325,-27.790666111111115
03 32 36.14040,-27 48 07.0630,53.150585,-27.801962,3.5,21.05,0.0,198,53.150585,-27.80196194444444
03 32 41.48687,-27 46 47.1900,53.172863,-27.779776,3.47,13.07,388.1,350,53.17286195833333,-27.779775
03 32 38.52553,-27 46 07.5680,53.160522,-27.768768,4.03,4.48,210.3,264,53.160523041666664,-27.768768888888886
03 32 32.08800,-27 46 57.8750,53.1337,-27.782743,3.92,5.21,0.0,259,53.13369999999999,-27.78274305555556
03 32 38.74533,-27 47 54.4160,53.161438,-27.798449,3.17,6.8,349.2,236,53.161438875000016,-27.798448888888878
03 32 40.53453,-27 47 47.5040,53.168896,-27.79653,4.71,2.56,157.9,157,53.168893875000016,-27.796528888888897
03 32 40.83147,-27 48 31.6440,53.17013,-27.80879,6.04,5.68,175.2,233,53.170131125000005,-27.808790000000002
03 32 37.10327,-27 46 13.8580,53.1546,-27.770515,3.3,3.45,0.0,152,53.15459695833333,-27.770516111111114
03 32 40.70713,-27 46 21.4030,53.169613,-27.772612,3.33,7.13,84.1,352,53.169613041666665,-27.772611944444442
03 32 38.53347,-27 46 15.9280,53.160557,-27.771091,3.73,6.09,84.3,266,53.160556124999985,-27.771091111111115
03 32 38.22287,-27 47 05.8780,53.159264,-27.784966,3.7,12.7,374.0,0,53.15926195833333,-27.78496611111111
03 32 40.61973,-27 46 52.5180,53.16925,-27.781256,3.14,11.01,96.1,412,53.16924887500001,-27.781255000000005
03 32 36.62253,-27 46 32.7970,53.152596,-27.775778,4.05,5.24,167.8,250,53.152593875,-27.775776944444445
03 32 36.51120,-27 46 45.4760,53.15213,-27.779299,3.23,6.67,152.9,260,53.15213,-27.779298888888892
03 32 36.72887,-27 47 12.1380,53.153038,-27.786705,4.23,9.29,970.0,308,53.15303695833334,-27.786704999999998
03 32 40.81513,-27 46 30.1330,53.170063,-27.775038,5.89,4.23,155.1,147,53.17006304166667,-27.77503694444444
03 32 40.87893,-27 46 42.0710,53.17033,-27.778353,4.45,3.18,562.2,0,53.170328874999996,-27.778353055555552
03 32 40.24247,-27 46 38.7620,53.16768,-27.777433,5.4,3.24,742.9,232,53.16767695833333,-27.777433888888883
03 32 39.76873,-27 46 52.5290,53.165703,-27.781258,4.18,1.9,53.0,220,53.16570304166667,-27.781258055555547
03 32 38.98153,-27 46 55.8010,53.162422,-27.782167,5.13,2.55,4.0,237,53.16242304166667,-27.78216694444444
03 32 36.60960,-27 47 01.6730,53.15254,-27.783798,4.78,2.62,617.0,192,53.15254000000001,-27.783798055555547
03 32 34.36873,-27 47 16.7320,53.143204,-27.787981,3.42,32.82,0.0,512,53.143203041666666,-27.787981111111115
03 32 37.82307,-27 47 52.2240,53.157597,-27.79784,4.23,40.99,0.0,267,53.157596125,-27.797839999999997
03 32 39.35400,-27 47 58.4590,53.163975,-27.799572,5.45,28.56,92.0,0,53.16397500000001,-27.79957194444445
03 32 46.75920,-27 47 04.5780,53.19483,-27.784605,4.54,5.16,0.0,223,53.19483,-27.784605
03 32 35.41587,-27 48 14.3280,53.147568,-27.80398,3.8,17.47,0.0,311,53.147566125,-27.80398
03 32 36.49487,-27 47 33.3780,53.15206,-27.792604,4.15,8.99,190.2,245,53.152061958333334,-27.792604999999995
03 32 34.37907,-27 47 12.5920,53.143246,-27.78683,3.75,9.86,0.0,308,53.14324612500001,-27.786831111111113
03 32 41.72113,-27 48 01.2130,53.17384,-27.800337,3.07,21.39,0.0,397,53.17383804166667,-27.800336944444446
03 32 44.74440,-27 47 39.3500,53.186436,-27.794264,3.7,5.71,120.1,328,53.186434999999996,-27.794263888888892
03 32 36.41087,-27 48 09.9470,53.15171,-27.802763,3.6,14.35,0.0,279,53.15171195833333,-27.802763055555552
03 32 37.19760,-27 46 36.3610,53.15499,-27.776768,3.47,9.22,92.1,274,53.15499000000001,-27.776766944444443
03 32 39.77547,-27 46 18.1780,53.16573,-27.771715,4.5,23.57,139.8,195,53.165731125,-27.771716111111107
03 32 40.77573,-27 46 36.7390,53.1699,-27.776873,5.05,2.65,18.9,185,53.169898874999994,-27.776871944444444
03 32 39.23280,-27 46 53.1880,53.16347,-27.78144,4.74,8.5,91.7,446,53.163470000000004,-27.781441111111114
03 32 38.03207,-27 46 16.3310,53.158466,-27.771202,3.66,1.74,134.6,220,53.15846695833333,-27.771203055555567
03 32 40.38747,-27 46 51.8020,53.16828,-27.781055,3.0,37.94,38.9,317,53.16828112500001,-27.781056111111106
03 32 40.74240,-27 46 21.0040,53.16976,-27.772501,3.33,8.36,0.0,286,53.16976,-27.772501111111115
03 32 42.31127,-27 46 44.0870,53.176296,-27.778913,3.19,24.62,0.0,374,53.17629695833334,-27.77891305555556
03 32 42.23253,-27 47 33.4070,53.17597,-27.792612,3.71,17.19,0.0,387,53.175968874999995,-27.79261305555556
03 32 34.32840,-27 47 59.5460,53.143036,-27.799873,3.1,38.86,0.0,432,53.143035,-27.799873888888882
03 32 39.77567,-27 48 59.2560,53.165733,-27.81646,4.62,21.19,142.4,183,53.16573195833333,-27.816459999999996
03 32 36.74233,-27 48 25.3760,53.15309,-27.807049,3.7,4.59,183.5,212,53.153093041666665,-27.80704888888889
03 32 33.25893,-27 47 24.7810,53.13858,-27.790216,5.48,61.18,95.1,290,53.138578874999986,-27.790216944444445
03 32 37.19807,-27 48 25.1570,53.15499,-27.806988,4.23,22.49,96.2,256,53.15499195833334,-27.806988055555546
03 32 38.95993,-27 47 34.8180,53.162334,-27.793005,3.6,7.66,24.7,480,53.162333041666656,-27.793005000000004
03 32 31.97760,-27 47 12.2060,53.13324,-27.786724,2.95,22.21,67.3,378,53.13323999999998,-27.786723888888893
03 32 37.81653,-27 45 52.9380,53.15757,-27.764706,3.56,44.14,0.0,348,53.15756887500002,-27.764705000000006
03 32 41.59320,-27 47 01.7480,53.173306,-27.78382,4.41,13.7,60.0,0,53.17330499999999,-27.78381888888888
03 32 31.85613,-27 47 42.1370,53.132732,-27.795038,3.18,8.11,42.6,0,53.13273387499999,-27.79503805555555
03 32 44.41827,-27 47 02.2060,53.185078,-27.783945,3.68,19.31,82.2,293,53.18507612500001,-27.783946111111117
03 32 32.42973,-27 47 32.1970,53.135124,-27.792276,3.1,10.56,53.7,319,53.135123875000005,-27.792276944444446
03 32 35.25840,-27 47 24.6880,53.14691,-27.790192,3.37,26.33,129.1,388,53.146910000000005,-27.790191111111113
03 32 42.98427,-27 47 13.1030,53.1791,-27.786974,3.68,17.14,267.2,254,53.179101125,-27.786973055555556
03 32 37.99393,-27 48 25.8160,53.158306,-27.80717,4.23,15.54,104.7,205,53.158308041666665,-27.80717111111111
03 32 40.30293,-27 48 44.3770,53.16793,-27.812326,3.0,38.15,322.5,240,53.167928875,-27.81232694444445
03 32 32.45427,-27 47 51.7880,53.135227,-27.797718,4.24,12.8,106.3,359,53.135226124999996,-27.797718888888884
03 32 42.38113,-27 46 06.9920,53.176586,-27.768608,2.99,18.01,82.5,0,53.17658804166666,-27.768608888888892
03 32 41.80533,-27 47 23.7260,53.17419,-27.789925,3.71,15.74,142.2,0,53.17418887499999,-27.78992388888889
03 32 35.09953,-27 48 02.9230,53.146248,-27.800812,4.85,8.04,66.8,0,53.14624804166667,-27.80081194444444
03 32 41.56320,-27 46 04.0800,53.17318,-27.7678,3.5,36.81,398.2,245,53.17317999999999,-27.7678
03 32 35.06013,-27 47 07.5230,53.146084,-27.785423,4.88,9.45,67.3,327,53.146083874999995,-27.78542305555555
03 32 36.67273,-27 47 43.4760,53.1528,-27.79541,3.97,25.25,202.0,217,53.152803041666665,-27.795409999999997
03 32 36.05667,-27 45 59.1770,53.150234,-27.766438,4.14,5.42,57.1,190,53.150236125,-27.766438055555557
03 32 32.58767,-27 47 43.6990,53.13578,-27.795471,3.09,14.44,68.6,363,53.13578195833333,-27.795471944444436
03 32 40.22520,-27 48 13.6550,53.167606,-27.803793,3.56,10.58,86.9,252,53.167604999999995,-27.803793055555555
03 32 38.23173,-27 45 39.2150,53.159298,-27.760893,3.33,14.86,153.6,235,53.15929887499999,-27.76089305555556
03 32 36.47207,-27 48 28.7170,53.151966,-27.807978,4.5,14.65,80.7,259,53.15196695833333,-27.807976944444437
03 32 37.66653,-27 48 58.1080,53.156944,-27.816141,4.86,8.08,0.0,387,53.15694387499999,-27.81614111111111
03 32 33.21933,-27 46 37.9880,53.138412,-27.77722,4.94,11.82,61.0,276,53.138413875,-27.77721888888889
03 32 35.18973,-27 46 46.1140,53.146626,-27.779476,3.33,9.73,0.0,365,53.146623875,-27.779476111111105
03 32 30.66673,-27 47 11.3460,53.127777,-27.786486,4.45,6.91,648.4,261,53.12777804166667,-27.786485000000006
03 32 33.03913,-27 46 57.2090,53.137665,-27.782558,4.85,7.44,214.2,206,53.13766304166666,-27.782558055555555
03 32 37.66487,-27 48 16.8700,53.156937,-27.804686,4.5,9.52,165.2,181,53.156936958333326,-27.804686111111106
03 32 39.94533,-27 48 28.4900,53.16644,-27.807915,3.26,6.59,409.2,151,53.166438875000004,-27.807913888888887
03 32 34.56433,-27 47 37.8380,53.144016,-27.793844,4.34,4.22,0.0,253,53.144018041666676,-27.793843888888894
03 32 36.24120,-27 47 42.7200,53.151005,-27.7952,3.67,19.31,0.0,244,53.15100500000001,-27.795200000000005
